id,price,weekly_price,monthly_price
314903,$160.00,"$1,050.00","$3,180.00"
315665,$120.00,$740.00,"$2,200.00"
316090,$70.00,$400.00,"$1,400.00"
317690,$140.00,$795.00,"$2,450.00"
317715,$90.00,,
318358,$218.00,"$1,727.00","$3,375.00"
320698,$210.00,"$1,400.00","$5,200.00"
321300,$72.00,,
321624,$70.00,$400.00,"$1,300.00"
321897,$130.00,$664.00,
322539,$55.00,,
322881,$150.00,,
323132,$130.00,$550.00,"$2,100.00"
324431,$40.00,$555.00,
325113,$269.00,,
325119,$69.00,$310.00,"$1,200.00"
325263,$80.00,$500.00,"$1,250.00"
325333,$190.00,,
325880,$195.00,,
326189,$90.00,$630.00,
327712,$300.00,,
328271,$250.00,"$1,200.00",
328695,$100.00,$580.00,
328697,$135.00,$838.00,
328847,$35.00,$330.00,"$1,300.00"
330030,$95.00,$800.00,"$2,800.00"
331500,$75.00,$550.00,"$1,400.00"
331987,$150.00,"$1,000.00",
332253,$130.00,$800.00,
333104,$48.00,$600.00,"$1,800.00"
334292,$69.00,$650.00,"$1,800.00"
334304,$80.00,$500.00,"$1,500.00"
334395,$70.00,,
335003,$85.00,,
335064,$45.00,$280.00,$780.00
335306,$35.00,$445.00,"$1,400.00"
335445,$144.00,,
336528,$70.00,$600.00,"$2,200.00"
336904,$75.00,$455.00,"$1,560.00"
338811,$65.00,$445.00,"$1,200.00"
339613,$440.00,,
339752,$150.00,$750.00,
340001,$200.00,,
341124,$70.00,$490.00,"$1,300.00"
341130,$140.00,$950.00,"$2,300.00"
342532,$110.00,$980.00,"$2,300.00"
342563,$98.00,$650.00,"$2,200.00"
342902,$95.00,,
343648,$83.00,$550.00,
343721,$300.00,"$2,400.00",
343862,$188.00,"$1,291.00","$4,557.00"
344230,$100.00,,
344258,$50.00,,
344366,$120.00,,"$2,400.00"
344390,$79.00,,
345341,$76.00,$400.00,"$1,202.00"
346619,$78.00,$464.00,"$1,800.00"
347470,$45.00,$450.00,"$1,500.00"
347698,$79.00,$650.00,
347730,$49.00,$290.00,"$1,100.00"
348037,$80.00,$763.00,"$2,400.00"
348577,$85.00,$500.00,"$1,400.00"
348747,$210.00,"$1,700.00","$6,000.00"
349296,$125.00,$805.00,"$3,080.00"
349335,$159.00,$800.00,
349979,$72.00,$580.00,"$1,800.00"
350092,$70.00,$420.00,"$1,300.00"
350571,$90.00,$550.00,"$2,000.00"
351291,$80.00,,"$1,450.00"
352851,$160.00,,
353608,$80.00,,"$1,980.00"
354285,$73.00,$450.00,"$1,850.00"
354372,$70.00,,
354427,$65.00,$350.00,
354929,$90.00,$650.00,"$2,200.00"
356213,$118.00,$750.00,"$2,200.00"
359198,$110.00,$474.00,"$1,800.00"
361133,$130.00,$850.00,"$2,646.00"
364509,$125.00,,
364567,$100.00,$371.00,"$1,336.00"
364650,$178.00,"$1,302.00",
364761,$44.00,$400.00,
365040,$50.00,$450.00,"$1,600.00"
366110,$75.00,$325.00,"$1,050.00"
366754,$95.00,$750.00,"$1,800.00"
368573,$500.00,"$3,500.00","$10,000.00"
370340,$176.00,"$1,054.00","$3,075.00"
370970,$60.00,$350.00,"$1,000.00"
371299,$145.00,,"$3,600.00"
371716,$160.00,"$1,190.00","$4,500.00"
