id,room_type,minimum_nights,number_of_reviews,host_listings_count,availability_30,availability_60,availability_90,availability_365,neighbourhood
586227,Entire home/apt,6,6,1.0,0,0,0,0,Batignolles
588211,Entire home/apt,2,153,1.0,0,0,0,0,
588598,Entire home/apt,3,7,1.0,0,0,0,0,Montparnasse
590990,Entire home/apt,5,47,1.0,0,0,0,0,Montparnasse
592287,Entire home/apt,3,6,1.0,0,0,0,0,Porte de Clignancourt
595518,Entire home/apt,5,9,1.0,0,0,0,0,Gare du Nord - Gare de I'Est
595600,Entire home/apt,2,0,1.0,0,0,0,0,Batignolles
595641,Entire home/apt,7,0,1.0,0,0,0,0,Porte de Clignancourt
596742,Entire home/apt,7,1,1.0,0,0,0,0,Buttes-Chaumont - Belleville
596810,Entire home/apt,3,10,1.0,0,0,0,0,
596835,Entire home/apt,1,33,1.0,0,0,0,0,Saint-Lazare
596875,Entire home/apt,3,8,1.0,0,0,0,0,Champs-Elysees
597106,Entire home/apt,7,9,1.0,0,0,0,0,Nation
597817,Entire home/apt,6,0,1.0,0,0,0,0,Pere Lachaise - Menilmontant
598386,Entire home/apt,2,14,1.0,0,0,0,0,Bastille
598398,Entire home/apt,4,56,1.0,0,0,0,0,Pere Lachaise - Menilmontant
599614,Entire home/apt,2,34,1.0,0,0,0,0,Buttes-Chaumont - Belleville
600529,Entire home/apt,3,14,1.0,0,0,0,0,La Chapelle
600533,Private room,2,0,1.0,0,0,0,0,Canal Saint-Martin
601500,Entire home/apt,7,7,1.0,0,0,0,0,Passy
601932,Entire home/apt,1,9,1.0,0,0,0,0,Republique
603382,Entire home/apt,3,0,1.0,0,0,0,0,II Arrondissement
603946,Entire home/apt,3,13,1.0,0,0,0,0,Montmartre
604193,Entire home/apt,4,9,1.0,0,0,0,0,Canal Saint-Martin
604423,Entire home/apt,2,5,1.0,0,0,0,0,Le Marais
606245,Private room,1,10,1.0,0,0,0,0,Alesia
607363,Entire home/apt,4,15,1.0,0,0,0,0,Canal Saint-Martin
608474,Private room,7,22,1.0,0,0,0,0,Republique
608622,Entire home/apt,7,1,1.0,0,0,0,0,Pere Lachaise - Menilmontant
609068,Entire home/apt,2,14,1.0,0,0,0,0,Republique
609370,Entire home/apt,4,4,1.0,0,0,0,0,Bastille
609987,Entire home/apt,1,0,1.0,0,0,0,0,La Chapelle
610252,Entire home/apt,2,3,1.0,0,0,0,0,La Chapelle
610489,Entire home/apt,7,3,1.0,0,0,0,0,Pigalle - Saint-Georges
610548,Entire home/apt,7,0,1.0,0,0,0,0,XI Arrondissement
610678,Entire home/apt,3,7,1.0,0,0,0,0,Opera - Grands Boulevards
611141,Entire home/apt,7,2,1.0,0,0,0,0,Le Marais
611320,Entire home/apt,6,0,1.0,0,0,0,0,Porte de Versailles
611742,Entire home/apt,3,0,1.0,0,0,0,0,Le Marais
612023,Entire home/apt,1,0,1.0,0,0,0,0,Republique
613772,Entire home/apt,2,14,1.0,0,0,0,0,Republique
615929,Entire home/apt,3,16,1.0,0,0,0,0,Alesia
615963,Entire home/apt,4,14,1.0,0,0,0,0,Republique
616072,Entire home/apt,7,2,1.0,0,0,0,0,La Chapelle
618283,Entire home/apt,1,27,1.0,0,0,0,0,XI Arrondissement
620606,Entire home/apt,2,58,1.0,0,0,0,0,XI Arrondissement
620887,Entire home/apt,2,9,1.0,0,0,0,0,Gare du Nord - Gare de I'Est
621290,Entire home/apt,3,95,1.0,0,0,0,0,Porte de Clignancourt
621328,Entire home/apt,1,1,1.0,0,0,0,0,Le Marais
622152,Entire home/apt,4,13,1.0,0,0,0,0,Pere Lachaise - Menilmontant
623986,Entire home/apt,7,0,1.0,0,0,0,0,Nation
624546,Entire home/apt,5,9,1.0,0,0,0,0,Republique
627203,Entire home/apt,4,52,1.0,0,0,0,0,Alesia
627429,Entire home/apt,2,3,1.0,0,0,0,0,Passy
628218,Entire home/apt,3,9,1.0,0,0,0,0,Chatelet - Les Halles - Beaubourg
629761,Entire home/apt,3,20,1.0,0,0,0,0,Nation
629879,Entire home/apt,5,5,1.0,0,0,0,0,Montmartre
630894,Entire home/apt,2,19,1.0,0,0,0,0,Bastille
632275,Private room,4,2,1.0,0,0,0,0,Montmartre
632335,Entire home/apt,5,3,1.0,0,0,0,0,Place d'Italie - Quartier Chinois
633498,Private room,6,0,1.0,0,0,0,0,Porte de Clignancourt
633505,Entire home/apt,5,12,1.0,0,0,0,0,II Arrondissement
633641,Private room,3,0,1.0,0,0,0,0,Pere Lachaise - Menilmontant
633717,Entire home/apt,6,0,1.0,0,0,0,0,Auteuil
634680,Entire home/apt,3,6,1.0,0,0,0,0,Buttes-Chaumont - Belleville
634771,Entire home/apt,1,0,1.0,0,0,0,0,Pere Lachaise - Menilmontant
636309,Private room,2,1,1.0,0,0,0,0,Gare du Nord - Gare de I'Est
636669,Private room,4,3,1.0,0,0,0,0,XI Arrondissement
637753,Entire home/apt,7,0,1.0,0,0,0,0,Porte de Versailles
637830,Entire home/apt,5,18,1.0,0,0,0,0,Montmartre
639049,Entire home/apt,3,23,1.0,0,0,0,0,III Arrondissement
